description;duration_in_minutes;id;location_name;name;price
Clipper and shear trimming and shaping with a beard wash and style;30;4202342;Mariemont Village Square;Classic Beard Trim with Wash and Style;35.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0;7526893;KutzByBSmith;Traditional Shave;0.0
Clipper and shear trimming and shaping with a beard wash and style;30;4202389;Roosters Men's Grooming Center;Classic Beard Trim with Wash and Style;35.0
Our Beard Trim service offers precise and skilled trimming of your beard using clippers, ensuring that your facial hair is neatly groomed and maintained. We also include the option to trim and shape your mustache, providing you with a polished and well-defined look.;15;4524218;Lasting Image Salon;Beard Trim;13.0
Basic beard trim and clean up with Edgers.  No razor available.;15;9222454;Cosmo Cutz Barber and Hair Salon;Beard Trim and Clean up;10.0
"Straight razor shave with steamed towels, hot lather, oils or moisturizers and a cold press towel treatment  * No shampoo; could cause irritation.";60;5634433;The Southern Gent;The Straight Razor Head Shave;72.5
Mustache and beard trim with clippers and trimmer.;30;5641034;De Star Salon LLC;Mustache and Beard Trim;20.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. A second towel is applied after the application of a pre-shave oil to soften the hair and lubricate the skin. Hot lather is applied and you will receive a shave with the grain of the beard.  Finally, a cool towel is applied to close the pores after aftershave has been applied.;30;5201978;The Barber Shop;Traditional Shave;30.0
Razor Beard Trim;25;4202187;SAN MARCO SQUARE;Razor Beard Trim (Beard trim w/clippers and razor clean up on cheeks & neck, hot towel service);35.0
Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;30;4189553;Evanston;Detailed Beard Trim;32.0
Line up the beard;15;10174375;Choco Fade;Beard trim;20.0
Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;30;4187771;Boulder;Detailed Beard Trim;30.0
Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;30;4188981;Westminster;Detailed Beard Trim;30.0
Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;30;4187652;Brodie Lane;Detailed Beard Trim;18.5
Trim, shaping and line up men's beard.;15;5649891;BOLD Beauty Bar;Beard Trim;12.0
Mustache and beard trimmed and groomed to specification to the individual client.;15;7913224;Kings Barber Shop LLC;Mustache and Beard Trim;16.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;30;9224700;Bonita Beauty Bar Salon;Traditional Shave;0.0
Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;30;4190076;Tustin;Detailed Beard Trim;34.0
Trim mustache, chin hair, & clipper shave facial hair.;15;6270210;Cuts By Dee;Mustache & Goatee Trim;20.0
Hot towel hot lather straight razor head shave;30;14622634;Chopper Barbershop;Hot Lather Head Shave;30.0
Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;30;4187241;Market St.;Detailed Beard Trim;28.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;30;6112553;Salon M double U;Traditional Shave;0.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;30;7546685;A Davis Brown Salon (Erin Brown);Traditional Shave;0.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0;7548471;Diva Salon;Traditional Shave;0.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;30;6838014;L Studio;Traditional Shave;0.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0;4918753;April Marie hair studio;Traditional Shave;0.0
Maintenance of the beard area designed to your needs. Let your stylist know your preferences.;15;7527037;Swirl Shop Salon & Spa;Beard Trim;15.0
Classic straight razor face shave. Includes a hot lather neck shave and steamed towels.;45;4188158;Mansfield;Classic Shave;40.0
beard shaping;15;7588681;The Parlour 616;Beard Trim;15.0
Classic straight razor face shave. Includes a hot lather neck shave and steamed towels.;45;4187243;Market St.;Classic Shave;35.0
Enhanced beard service by a barber and with a straight razor.;30;4187061;Cornerstar;Beard Trim- Straight Razor;43.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0;5700931;The Hair Studio;Traditional Shave;0.0
Enhanced beard service by a barber and with a straight razor.;30;4188253;Vintage Park;Beard Trim- Straight Razor;35.0
Enhanced beard service by a barber and with a straight razor.;30;4189820;Hermosa Beach;Beard Trim- Straight Razor;48.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;30;5679037;Paper Dollz Salon;Traditional Shave;0.0
Classic straight razor face shave. Includes a hot lather neck shave and steamed towels.;45;4188863;Denver University;Classic Shave;45.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0;5686411;Jenz hair studio;Traditional Shave;0.0
Shaping of the Beard.;15;5690300;Monica Marie Hair Studio;Beard Trim;10.0
Slick up your face with our smooth, hot lather face shave.;30;4183585;Diesel - The Strand;Face Shave;50.0
Beard Trim and Conditioning;30;4191742;Henley's Gentlemen's Grooming - Shavano;Beard Trim and Conditioning;40.0
Faded beard, with a trimmer line up to create a tapered effect.;15;4187889;Loveland;Beard Trim;17.0
BEARD TRIM;10;4225550;SUDBURY PLAZA;BEARD TRIM;10.95
BEARD TRIM;10;4224899;ROUTE 1 NORTH PLAZA;BEARD TRIM;10.95
Slick up your face with our smooth, hot lather face shave.;30;4183666;Diesel Barbershop - Dominion Oaks;Face Shave;50.0
Keep your mustache looking dapper with a trim.;15;4185071;HOU - Tanglewood;Mustache Trim;18.0
Keep your mustache looking dapper with a trim.;15;4185143;DFW - Las Colinas;Mustache Trim;18.0
Head shave and a beard trim;45;4510681;BED HED JED;Beard Package;65.0
BEARD TRIM;20;4207266;LOCATED INSIDE WALMART #1874;BEARD TRIM;15.0
Beard trim includes hot towel and the use of straight razor;0;9249207;Royal Cuts;Beard Trim;0.0
A Custom Haircut and Beard Trim with a Razor Edge Up. ( Includes Hot Towel and Hot Lather);45;9249486;Vinny's Barbershop The Woodlands;The Traditional;60.0
The Full Face Shave includes application of hot steam and hot towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave of the beard. A second application of hot lather follows with second shave. A cool towel is applied to close the pores.;30;9283573;Rocky's Barber Studio;Full Face Shave;60.0
Beard trim with outline or  completely off. (Not a shave  service );30;5939175;West Jordan Location;Beard Trim & Line-Up;35.0
Using clippers and shears, our master barbers will trim your facial hair as they see fit.;30;6006335;Scott Lee Master Barbers;Mustache and Beard Trim;43.0
Combination of Hair cut and Beard trim.;75;7924209;True North Hair Co;Haircut/BeardTrim Combo;40.0
The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;30;6073695;Fades  Braids;Traditional Shave;0.0
Traditional Barber's Haircut includes cut, style, hot lather straight razor around the ears and on the back of the neck with a hot towel and a quick shoulder massage.;30;6075988;Salon Speciale;Traditional Barber Haircut;0.0
Includes straight razor finish.;35;10485624;Miggy the Barber;Line up & Beard Trim;35.0
A traditional hot towel straight razor shave.;30;6077082;True Barbershop;Traditional Shave;25.0
