id;name;description;price;duration_in_minutes;location_name;tags
4202342;Classic Beard Trim with Wash and Style;Clipper and shear trimming and shaping with a beard wash and style;35.0;30;Mariemont Village Square;Beard Trim-Clipper/Trimmer, Beard Wash, Mustache Trim
7526893;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;0;KutzByBSmith;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4202389;Classic Beard Trim with Wash and Style;Clipper and shear trimming and shaping with a beard wash and style;35.0;30;Roosters Men's Grooming Center;Beard Trim-Clipper/Trimmer, Beard Wash, Mustache Trim
4524218;Beard Trim;Our Beard Trim service offers precise and skilled trimming of your beard using clippers, ensuring that your facial hair is neatly groomed and maintained. We also include the option to trim and shape your mustache, providing you with a polished and well-defined look.;13.0;15;Lasting Image Salon;Beard Trim-Clipper/Trimmer, Mustache Trim
9222454;Beard Trim and Clean up;Basic beard trim and clean up with Edgers.  No razor available.;10.0;15;Cosmo Cutz Barber and Hair Salon;Beard Trim-Clipper/Trimmer
5634433;The Straight Razor Head Shave;"Straight razor shave with steamed towels, hot lather, oils or moisturizers and a cold press towel treatment  * No shampoo; could cause irritation.";72.5;60;The Southern Gent;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
5641034;Mustache and Beard Trim;Mustache and beard trim with clippers and trimmer.;20.0;30;De Star Salon LLC;Beard Trim-Clipper/Trimmer, Mustache Trim
5201978;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. A second towel is applied after the application of a pre-shave oil to soften the hair and lubricate the skin. Hot lather is applied and you will receive a shave with the grain of the beard.  Finally, a cool towel is applied to close the pores after aftershave has been applied.;30.0;30;The Barber Shop;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4202187;Razor Beard Trim (Beard trim w/clippers and razor clean up on cheeks & neck, hot towel service);Razor Beard Trim;35.0;25;SAN MARCO SQUARE;Beard Trim-Clipper/Trimmer, Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4189553;Detailed Beard Trim;Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;32.0;30;Evanston;Beard Trim-Clipper/Trimmer
10174375;Beard trim;Line up the beard;20.0;15;Choco Fade;Line-Up/Edge Up
4187771;Detailed Beard Trim;Enhanced beard service for fuller beards that require more time to shape and detail.4;30.0;30;Boulder;Beard Trim-Clipper/Trimmer
4188981;Detailed Beard Trim;Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;30.0;30;Westminster;Beard Trim-Clipper/Trimmer
4187652;Detailed Beard Trim;Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;18.5;30;Brodie Lane;Beard Trim-Clipper/Trimmer
5649891;Beard Trim;Trim, shaping and line up men's beard.;12.0;15;BOLD Beauty Bar;Beard Trim-Clipper/Trimmer, Line-Up/Edge Up
7913224;Mustache and Beard Trim;Mustache and beard trimmed and groomed to specification to the individual client.;16.0;15;Kings Barber Shop LLC;Beard Trim-Clipper/Trimmer, Mustache Trim
9224700;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;30;Bonita Beauty Bar Salon;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4190076;Detailed Beard Trim;Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;34.0;30;Tustin;Beard Trim-Clipper/Trimmer
6270210;Mustache & Goatee Trim;Trim mustache, chin hair, & clipper shave facial hair.;20.0;15;Cuts By Dee;Beard Trim-Clipper/Trimmer, Mustache Trim
14622634;Hot Lather Head Shave;Hot towel hot lather straight razor head shave;30.0;30;Chopper Barbershop;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4187241;Detailed Beard Trim;Enhanced beard service for fuller beards that require more time to shape and detail. No Razor used.;28.0;30;Market St.;Beard Trim-Clipper/Trimmer
6112553;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;30;Salon M double U;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
7546685;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;30;A Davis Brown Salon (Erin Brown);Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
7548471;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;0;Diva Salon;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
6838014;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;30;L Studio;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4918753;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;0;April Marie hair studio;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
7527037;Beard Trim;Maintenance of the beard area designed to your needs. Let your stylist know your preferences.;15.0;15;Swirl Shop Salon & Spa;Beard Trim-Clipper/Trimmer
4188158;Classic Shave;Classic straight razor face shave. Includes a hot lather neck shave and steamed towels.;40.0;45;Mansfield;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
7588681;Beard Trim;beard shaping;15.0;15;The Parlour 616;Beard Trim-Clipper/Trimmer
4187243;Classic Shave;Classic straight razor face shave. Includes a hot lather neck shave and steamed towels.;35.0;45;Market St.;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4187061;Beard Trim- Straight Razor;Enhanced beard service by a barber and with a straight razor.;43.0;30;Cornerstar;Beard Trim-Straight-razor
5700931;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;0;The Hair Studio;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4188253;Beard Trim- Straight Razor;Enhanced beard service by a barber and with a straight razor.;35.0;30;Vintage Park;Beard Trim-Straight-razor
4189820;Beard Trim- Straight Razor;Enhanced beard service by a barber and with a straight razor.;48.0;30;Hermosa Beach;Beard Trim-Straight-razor
5679037;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;30;Paper Dollz Salon;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
4188863;Classic Shave;Classic straight razor face shave. Includes a hot lather neck shave and steamed towels.;45.0;45;Denver University;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
5686411;Traditional Shave;The traditional Straight Razor Shave includes application of a steam towel to open up the pores and soften the hair follicle. Hot lather is applied and you will receive a first pass shave with the grain of the beard. A second application of hot lather follows, with second shave against the grain for a closer shave. A cool towel is applied to close the pores.;0.0;0;Jenz hair studio;Hot Towel, Line-Up/Edge Up, Neck Shave-Clipper/Trimmer
5690300;Beard Trim;Shaping of the Beard.;10.0;15;Monica Marie Hair Studio;Beard Trim-Clipper/Trimmer
